uid,player_level,character,char_level,path,light_cone,light_cone_level,attack_lvl,skill_lvl,ultimate_lvl,talent_lvl,HP,ATK,DEF,SPD,CRIT Rate,CRIT DMG,DMG Boost,Outgoing Healing Boost,Energy Regeneration Rate,Effect RES,Effect Hit Rate,Break Effect,SPD sub,HP sub,ATK sub,DEF sub,CRIT Rate sub,CRIT DMG sub,Effect RES sub,Effect Hit Rate sub,Break Effect sub,Body,Feet,Sphere,Rope,relic,ornament
1ead6216617a11f0ac2e8878734f76cf,70,Robin,80,Physical,Past Self in Mirror,80.0,6,10,10,10,4301.282,4140.401,1202.435,121.7,16.988,50.0,0.0,0.0,24.439,11.664,0.0,60.0,14.7,27.216,30.672,5.4,11.988,0.0,11.664,0.0,0.0,ATK,ATK,ATK,Energy Regeneration Rate,"Musketeer of Wild Wheat, Prisoner in Deep Confinement",Sprightly Vonwacq
1ead6216617a11f0ac2e8878734f76cf,70,Tribbie,80,Quantum,Dance! Dance! Dance!,80.0,6,10,10,10,4792.729,1661.32,1288.895,90.92,66.572,165.06,10.0,0.0,24.439,15.12,7.776,18.792,2.6,4.32,28.08,9.72,17.172,77.76,15.12,7.776,18.792,CRIT Rate,HP,HP,Energy Regeneration Rate,Poet of Mourning Collapse,"Penacony, Land of the Dreams"
1ead6216617a11f0ac2e8878734f76cf,70,Sunday,80,Imaginary,A Grounded Ascent,80.0,6,10,10,10,4341.648,1650.909,1450.112,135.692,5.0,229.86,0.0,0.0,19.439,53.488,19.872,12.312,8.9,0.0,7.344,14.58,0.0,77.76,25.488,19.872,12.312,CRIT DMG,SPD,HP,Energy Regeneration Rate,Sacerdos' Relived Ordeal,Broken Keel
1ead6216617a11f0ac2e8878734f76cf,70,Firefly,80,Fire,Whereabouts Should Dreams Rest,80.0,6,10,10,10,2953.023,2489.678,1545.068,166.472,5.0,72.68,0.0,0.0,0.0,26.64,0.0,234.476,26.2,7.776,7.776,15.12,0.0,22.68,8.64,0.0,56.376,ATK,SPD,ATK,Break Effect,Iron Cavalry Against the Scourge,Forge of the Kalpagni Lantern
1ead6216617a11f0ac2e8878734f76cf,70,Castorice,80,Quantum,Make Farewells More Beautiful,80.0,6,10,10,10,7522.431,1923.001,1044.466,87.4,55.452,206.508,63.28,0.0,0.0,3.456,0.0,0.0,0.0,3.888,38.448,14.58,31.752,78.408,3.456,0.0,0.0,CRIT DMG,HP,Quantum DMG Boost,HP,Poet of Mourning Collapse,Bone Collection's Serene Demesne
1ead6216617a11f0ac2e8878734f76cf,70,Acheron,80,Lightning,Along the Passing Shore,80.0,6,10,10,10,3357.041,2889.068,988.616,130.632,59.544,220.16,46.88,0.0,0.0,8.208,0.0,16.2,4.6,15.984,0.0,14.04,18.144,110.16,8.208,0.0,16.2,CRIT Rate,SPD,Lightning DMG Boost,ATK,Pioneer Diver of Dead Waters,Izumo Gensei and Takama Divine Realm
1ead6216617a11f0ac2e8878734f76cf,70,Jing Yuan,80,Lightning,Before Dawn,80.0,6,10,10,10,3432.295,3298.05,1368.896,110.5,68.192,199.2,38.88,0.0,0.0,0.0,7.344,0.0,11.5,19.44,14.256,28.08,18.792,97.2,0.0,7.344,0.0,CRIT Rate,ATK,Lightning DMG Boost,ATK,The Ashblazing Grand Duke,The Wondrous BananAmusement Park
1ead6536617a11f09c8c8878734f76cf,70,Jade,80,Quantum,Yet Hope Is Priceless,80.0,6,10,10,10,3035.281,2475.655,1114.763,146.132,61.4,182.192,61.28,0.0,0.0,10.0,18.144,11.664,18.1,8.64,8.208,0.0,32.4,67.392,0.0,18.144,11.664,CRIT DMG,SPD,Quantum DMG Boost,ATK,The Ashblazing Grand Duke,Inert Salsotto
1ead6536617a11f09c8c8878734f76cf,70,Hyacine,80,Wind,Long May Rainbows Adorn the Sky,80.0,6,10,10,10,5529.669,1583.741,1328.933,213.332,7.916,99.248,0.0,0.0,19.439,42.192,0.0,0.0,31.3,16.416,36.288,14.58,2.916,49.248,24.192,0.0,0.0,HP,SPD,HP,Energy Regeneration Rate,Warrior Goddess of Sun and Thunder,Giant Tree of Rapt Brooding
1ead6536617a11f09c8c8878734f76cf,70,Tribbie,80,Quantum,Dance! Dance! Dance!,70.0,5,8,8,8,5405.059,1240.548,1519.911,95.52,37.412,169.596,10.0,0.0,19.439,6.912,19.008,11.664,7.2,38.016,0.0,31.32,20.412,17.496,6.912,19.008,11.664,CRIT DMG,HP,HP,Energy Regeneration Rate,Poet of Mourning Collapse,Bone Collection's Serene Demesne
1ead6536617a11f09c8c8878734f76cf,70,Black Swan,80,Wind,Reforged Remembrance,80.0,6,10,10,10,3138.042,3006.023,1146.402,151.432,25.088,50.0,53.28,0.0,0.0,16.416,132.08,0.0,24.4,4.32,15.552,18.9,20.088,0.0,16.416,38.88,0.0,Effect Hit Rate,SPD,Wind DMG Boost,ATK,Prisoner in Deep Confinement,Firmament Frontline: Glamoth
1ead6536617a11f09c8c8878734f76cf,70,Acheron,80,Lightning,Along the Passing Shore,80.0,1,10,10,10,3493.218,4273.952,946.011,101.0,70.236,190.352,8.0,0.0,0.0,22.896,3.456,5.184,0.0,27.648,20.304,13.5,28.836,80.352,22.896,3.456,5.184,CRIT Rate,ATK,ATK,ATK,Pioneer Diver of Dead Waters,Izumo Gensei and Takama Divine Realm
1ead6536617a11f09c8c8878734f76cf,70,Blade,80,Wind,The Unreachable Side,80.0,6,10,10,10,7107.733,1675.032,890.745,135.232,53.792,167.936,38.88,0.0,0.0,13.456,0.0,39.528,13.2,26.352,4.32,9.18,18.792,53.136,3.456,0.0,39.528,CRIT DMG,SPD,Wind DMG Boost,HP,Longevous Disciple,Bone Collection's Serene Demesne
1ead6536617a11f09c8c8878734f76cf,70,Boothill,80,Physical,Shadowed by Night,80.0,6,10,10,10,3415.351,1638.994,1452.945,157.632,5.0,61.664,0.0,0.0,0.0,7.776,15.552,220.812,25.6,11.664,8.208,4.32,0.0,11.664,7.776,15.552,44.712,DEF,SPD,Fire DMG Boost,Break Effect,"Iron Cavalry Against the Scourge, Flex",Talia: Kingdom of Banditry
1ead6536617a11f09c8c8878734f76cf,70,Ruan Mei,80,Ice,Past Self in Mirror,80.0,6,10,10,10,3223.598,1883.5,2480.132,161.932,8.24,56.48,0.0,0.0,24.439,4.32,11.232,180.692,27.9,11.664,23.76,10.26,3.24,6.48,4.32,11.232,67.392,DEF,SPD,DEF,Energy Regeneration Rate,"Watchmaker, Master of Dream Machinations",Sprightly Vonwacq
1ead6604617a11f0ba358878734f76cf,70,Castorice,80,Quantum,Make Farewells More Beautiful,80.0,6,10,10,10,9544.723,1651.577,1155.601,87.4,57.396,156.612,24.4,0.0,0.0,7.344,0.0,18.144,0.0,27.648,23.328,17.82,33.696,28.512,7.344,0.0,18.144,CRIT DMG,HP,HP,HP,Poet of Mourning Collapse,Bone Collection's Serene Demesne
1ead6604617a11f0ba358878734f76cf,70,Firefly,80,Fire,Whereabouts Should Dreams Rest,80.0,6,10,10,10,3329.148,2528.538,1529.617,147.472,13.1,66.848,0.0,0.0,0.0,29.664,0.0,240.956,7.2,26.352,22.032,9.72,8.1,16.848,11.664,0.0,62.856,ATK,SPD,ATK,Break Effect,Iron Cavalry Against the Scourge,Forge of the Kalpagni Lantern
1ead6604617a11f0ba358878734f76cf,70,The Herta,80,Ice,Into the Unreachable Veil,80.0,6,10,10,10,3307.063,3372.584,1279.523,129.032,62.26,171.176,22.4,0.0,0.0,7.344,15.12,21.384,0.0,22.896,12.096,32.94,37.26,56.376,7.344,15.12,21.384,CRIT DMG,SPD,ATK,ATK,Scholar Lost in Erudition,Izumo Gensei and Takama Divine Realm
1ead6604617a11f0ba358878734f76cf,70,Kafka,80,Lightning,Patience Is All You Need,80.0,6,10,10,10,3505.924,3889.617,1163.337,129.332,18.284,68.144,62.88,0.0,0.0,8.208,58.608,16.2,4.3,18.576,37.152,18.9,13.284,18.144,8.208,40.608,16.2,ATK,SPD,Lightning DMG Boost,ATK,Prisoner in Deep Confinement,Space Sealing Station
1ead6604617a11f0ba358878734f76cf,70,Fu Xuan,80,Quantum,Trend of the Universal Market,80.0,2,10,10,10,8509.605,1188.936,1880.266,133.932,26.94,85.64,0.0,0.0,0.0,21.664,3.888,47.952,8.9,31.968,0.0,42.12,3.24,35.64,11.664,3.888,47.952,HP,SPD,HP,HP,"Longevous Disciple, Flex",Fleet of the Ageless
1ead6604617a11f0ba358878734f76cf,70,Black Swan,80,Wind,Eyes of the Prey,80.0,6,10,10,10,2859.095,3056.082,895.893,137.932,19.904,61.664,53.28,0.0,0.0,15.984,132.144,5.832,10.9,0.0,41.904,5.4,14.904,11.664,15.984,28.944,5.832,Effect Hit Rate,SPD,Wind DMG Boost,ATK,Prisoner in Deep Confinement,Pan-Cosmic Commercial Enterprise
1ead6604617a11f0ba358878734f76cf,70,Sparkle,80,Quantum,,,2,10,10,10,2922.115,1037.175,538.022,160.892,8.24,169.256,0.0,0.0,19.439,10.0,29.376,29.808,28.8,19.44,23.76,0.0,3.24,30.456,0.0,29.376,29.808,CRIT DMG,SPD,Physical DMG Boost,Energy Regeneration Rate,"Messenger Traversing Hackerspace, Flex",
1ead66a6617a11f094b78878734f76cf,70,Tribbie,80,Quantum,Dance! Dance! Dance!,80.0,4,10,10,10,4426.939,1469.129,1434.251,142.332,73.052,115.812,0.0,0.0,24.439,10.8,3.888,5.832,21.3,32.832,7.344,27.54,23.652,28.512,10.8,3.888,5.832,CRIT Rate,SPD,HP,Energy Regeneration Rate,Eagle of Twilight Line,Sprightly Vonwacq
1ead66a6617a11f094b78878734f76cf,70,Castorice,80,Quantum,Make Farewells More Beautiful,80.0,4,10,10,10,8666.545,1491.623,1092.095,92.3,56.748,216.876,63.28,0.0,0.0,0.0,3.456,0.0,4.9,43.632,4.32,15.66,33.048,88.776,0.0,3.456,0.0,CRIT DMG,HP,Quantum DMG Boost,HP,Poet of Mourning Collapse,Bone Collection's Serene Demesne
1ead66a6617a11f094b78878734f76cf,70,Acheron,80,Lightning,Along the Passing Shore,80.0,6,10,10,10,2923.302,4320.63,931.44,108.8,56.304,231.992,8.0,0.0,0.0,7.344,15.552,15.552,7.8,0.0,23.328,9.72,14.904,115.992,7.344,15.552,15.552,CRIT Rate,ATK,ATK,ATK,Pioneer Diver of Dead Waters,Izumo Gensei and Takama Divine Realm
1ead66a6617a11f094b78878734f76cf,70,The Herta,80,Ice,Today Is Another Peaceful Day,80.0,1,10,10,10,2716.56,2862.868,1078.006,113.2,96.816,99.896,61.28,0.0,0.0,7.776,11.232,29.16,9.2,0.0,0.0,18.9,43.416,49.896,7.776,11.232,29.16,CRIT Rate,ATK,Ice DMG Boost,ATK,Scholar Lost in Erudition,Rutilant Arena
1ead66a6617a11f094b78878734f76cf,70,Sparkle,80,Quantum,Earthly Escapade,80.0,1,10,10,10,4274.775,1499.051,1277.451,160.792,16.988,177.28,0.0,0.0,19.439,43.76,12.096,6.48,28.7,8.208,0.0,16.2,11.988,6.48,23.76,12.096,6.48,CRIT DMG,SPD,Physical DMG Boost,Energy Regeneration Rate,Sacerdos' Relived Ordeal,Broken Keel
1ead66a6617a11f094b78878734f76cf,70,Robin,80,Physical,For Tomorrow's Journey,80.0,1,10,10,10,3617.977,4093.184,1128.585,122.5,16.664,83.696,0.0,0.0,19.439,0.0,19.872,11.664,15.5,7.776,15.12,24.84,11.664,33.696,0.0,19.872,11.664,ATK,ATK,ATK,Energy Regeneration Rate,"Musketeer of Wild Wheat, Prisoner in Deep Confinement",Fleet of the Ageless
1ead66a6617a11f094b78878734f76cf,70,Sunday,80,Imaginary,A Grounded Ascent,80.0,1,10,10,10,3841.908,1526.568,1883.89,148.092,13.748,184.5,0.0,0.0,24.439,36.144,7.776,10.368,21.3,14.688,0.0,0.0,8.748,32.4,18.144,7.776,10.368,CRIT DMG,SPD,DEF,Energy Regeneration Rate,Sacerdos' Relived Ordeal,Sprightly Vonwacq
1ead66a6617a11f094b78878734f76cf,70,Firefly,80,Fire,On the Fall of an Aeon,80.0,1,10,10,10,2936.068,2405.111,1470.783,155.772,16.016,50.0,0.0,0.0,0.0,25.776,12.96,226.316,15.5,12.96,3.456,25.38,11.016,0.0,7.776,12.96,108.216,ATK,SPD,ATK,Break Effect,Iron Cavalry Against the Scourge,Forge of the Kalpagni Lantern
1ead673f617a11f0bb578878734f76cf,70,Cipher,80,Quantum,Lies Dance on the Breeze,80.0,6,10,10,10,2827.588,2399.423,1038.555,171.012,43.992,186.08,53.28,0.0,0.0,0.0,37.648,0.0,6.9,4.32,11.232,0.0,34.992,71.28,0.0,27.648,0.0,CRIT DMG,SPD,Quantum DMG Boost,ATK,Pioneer Diver of Dead Waters,"Duran, Dynasty of Running Wolves"
1ead673f617a11f0bb578878734f76cf,70,Yunli,80,Physical,Dance at Sunset,80.0,7,10,12,10,3724.323,3603.853,1165.337,94.0,94.488,177.368,38.88,0.0,0.0,0.0,0.0,11.664,0.0,6.912,25.488,24.3,44.388,91.368,0.0,0.0,11.664,CRIT Rate,ATK,Physical DMG Boost,ATK,The Wind-Soaring Valorous,"Duran, Dynasty of Running Wolves"
1ead673f617a11f0bb578878734f76cf,70,Tribbie,80,Quantum,If Time Were a Flower,80.0,6,10,10,10,7110.469,1451.402,1586.065,88.32,57.824,245.772,10.0,0.0,0.0,0.0,14.688,38.88,0.0,22.896,4.32,41.04,40.824,57.672,0.0,14.688,38.88,CRIT DMG,HP,HP,HP,Poet of Mourning Collapse,Bone Collection's Serene Demesne
1ead673f617a11f0bb578878734f76cf,70,Huohuo,80,Wind,Post-Op Conversation,80.0,6,8,10,10,5206.722,1654.873,1043.639,164.232,13.748,68.792,10.0,34.561,33.439,28.0,0.0,29.808,36.2,7.344,23.328,15.66,8.748,18.792,0.0,0.0,29.808,Outgoing Healing Boost,SPD,HP,Energy Regeneration Rate,Eagle of Twilight Line,Broken Keel
1ead673f617a11f0bb578878734f76cf,70,The Herta,80,Ice,Into the Unreachable Veil,80.0,6,10,10,10,3236.957,2628.15,948.15,135.932,67.12,50.0,61.28,0.0,0.0,7.344,0.0,18.144,6.9,15.984,26.784,0.0,42.12,0.0,7.344,0.0,18.144,,SPD,Ice DMG Boost,ATK,Scholar Lost in Erudition,Izumo Gensei and Takama Divine Realm
1ead673f617a11f0bb578878734f76cf,70,Lingsha,80,Fire,Quid Pro Quo,80.0,5,10,10,10,3612.297,2294.79,1045.752,144.932,24.764,120.632,0.0,0.0,19.439,11.664,23.76,42.484,21.9,8.64,16.416,9.72,19.764,5.832,11.664,23.76,5.184,CRIT DMG,SPD,ATK,Energy Regeneration Rate,Eagle of Twilight Line,
1ead673f617a11f0bb578878734f76cf,70,Topaz & Numby,80,Fire,"Worrisome, Blissful",80.0,6,10,10,10,3143.652,1850.35,1071.456,146.232,57.68,155.624,61.28,0.0,0.0,3.456,7.776,16.2,11.2,12.528,22.896,19.98,22.68,40.824,3.456,7.776,16.2,CRIT DMG,SPD,Fire DMG Boost,,The Ashblazing Grand Duke,
1ead673f617a11f0bb578878734f76cf,70,Sparkle,80,Quantum,A Grounded Ascent,80.0,1,10,10,10,5344.916,1921.333,1096.222,133.56,19.256,191.936,0.0,0.0,24.439,20.8,15.984,0.0,26.5,18.144,3.888,4.32,14.256,53.136,10.8,15.984,0.0,CRIT DMG,ATK,HP,Energy Regeneration Rate,Sacerdos' Relived Ordeal,"Lushaka, the Sunken Seas"
1ead67c1617a11f08c818878734f76cf,70,Acheron,80,Lightning,Along the Passing Shore,80.0,6,10,10,10,3224.596,4416.452,940.175,111.1,44.964,239.6,8.0,0.0,0.0,6.912,0.0,16.848,10.1,11.664,30.672,10.26,35.964,64.8,6.912,0.0,16.848,CRIT DMG,ATK,ATK,ATK,Pioneer Diver of Dead Waters,Izumo Gensei and Takama Divine Realm
1ead67c1617a11f08c818878734f76cf,70,Lingsha,80,Fire,Scent Alone Stays True,80.0,6,10,10,10,4169.589,2715.54,1105.101,171.172,5.0,55.832,0.0,34.561,0.0,28.08,0.0,209.404,30.5,23.76,42.336,10.26,0.0,5.832,28.08,0.0,47.304,Outgoing Healing Boost,SPD,ATK,Break Effect,"Messenger Traversing Hackerspace, Sacerdos' Relived Ordeal",Giant Tree of Rapt Brooding
1ead67c1617a11f08c818878734f76cf,70,Kafka,80,Lightning,Lies Dance on the Breeze,80.0,6,10,10,10,3353.929,3343.298,1261.678,168.332,10.508,50.0,0.0,0.0,19.439,21.168,91.44,0.0,25.3,19.872,41.904,14.58,5.508,0.0,21.168,30.24,0.0,Effect Hit Rate,SPD,ATK,Energy Regeneration Rate,Prisoner in Deep Confinement,Revelry by the Sea
1ead67c1617a11f08c818878734f76cf,70,Castorice,80,Quantum,Make Farewells More Beautiful,80.0,5,9,10,10,9571.761,1537.563,1039.703,89.4,58.692,174.756,24.4,0.0,0.0,11.232,3.888,24.624,2.0,34.128,3.456,14.04,34.992,46.656,11.232,3.888,24.624,CRIT DMG,HP,HP,HP,Poet of Mourning Collapse,Bone Collection's Serene Demesne
1ead67c1617a11f08c818878734f76cf,70,Hyacine,80,Wind,Long May Rainbows Adorn the Sky,80.0,3,10,9,8,6842.651,1320.36,1272.565,209.332,5.0,126.464,0.0,0.0,0.0,28.8,14.256,0.0,27.3,22.896,7.776,9.72,0.0,76.464,10.8,14.256,0.0,HP,SPD,HP,HP,Warrior Goddess of Sun and Thunder,Giant Tree of Rapt Brooding
1ead67c1617a11f08c818878734f76cf,70,Aglaea,80,Lightning,Time Woven Into Gold,80.0,6,6,10,9,3085.353,2741.151,1190.174,150.232,75.32,147.648,61.28,0.0,0.0,15.552,0.0,11.664,9.2,3.456,22.464,14.04,25.92,81.648,15.552,0.0,11.664,CRIT Rate,SPD,Lightning DMG Boost,ATK,Hero of Triumphant Song,The Wondrous BananAmusement Park
1ead67c1617a11f08c818878734f76cf,70,Black Swan,80,Wind,Those Many Springs,80.0,6,10,10,10,2921.102,4250.432,1361.245,143.432,5.0,61.664,14.4,0.0,0.0,12.096,125.36,16.848,16.4,3.456,39.312,30.24,0.0,11.664,12.096,45.36,16.848,ATK,SPD,ATK,ATK,Prisoner in Deep Confinement,Pan-Cosmic Commercial Enterprise
1ead67c1617a11f08c818878734f76cf,70,Blade,80,Wind,I Shall Be My Own Sword,80.0,6,9,8,7,6997.998,1497.284,958.205,102.2,85.04,149.704,0.0,0.0,19.439,13.888,11.664,43.416,5.2,11.664,0.0,8.64,35.64,79.704,3.888,11.664,43.416,CRIT Rate,HP,HP,Energy Regeneration Rate,Longevous Disciple,Fleet of the Ageless
1ead682f617a11f08d138878734f76cf,70,Acheron,80,Lightning,Along the Passing Shore,80.0,6,10,10,10,3823.683,3694.655,918.719,105.6,62.136,164.432,46.88,0.0,0.0,0.0,18.576,23.328,4.6,31.536,24.192,5.4,20.736,54.432,0.0,18.576,23.328,CRIT Rate,ATK,Lightning DMG Boost,ATK,Pioneer Diver of Dead Waters,Izumo Gensei and Takama Divine Realm
1ead682f617a11f08d138878734f76cf,70,Dan Heng â€¢ Imbibitor Lunae,80,Imaginary,,,6,10,10,10,2240.182,1540.307,476.766,121.02,55.78,162.104,61.28,0.0,19.439,19.872,8.64,15.552,12.9,7.776,3.888,4.86,30.78,47.304,19.872,8.64,15.552,CRIT DMG,ATK,Imaginary DMG Boost,Energy Regeneration Rate,Musketeer of Wild Wheat,Rutilant Arena
1ead682f617a11f08d138878734f76cf,70,Ruan Mei,80,Ice,Memories of the Past,80.0,6,10,10,10,5598.322,1515.439,1463.594,143.532,5.0,78.512,0.0,0.0,19.439,3.888,11.664,195.932,9.5,32.4,7.344,34.56,0.0,28.512,3.888,11.664,70.632,HP,SPD,HP,Energy Regeneration Rate,Thief of Shooting Meteor,Fleet of the Ageless
1ead682f617a11f08d138878734f76cf,70,Tribbie,80,Quantum,Dance! Dance! Dance!,80.0,1,10,10,10,5314.987,1582.436,1416.419,95.22,71.108,154.692,10.0,0.0,19.439,3.888,0.0,11.016,6.9,11.232,23.328,21.06,21.708,67.392,3.888,0.0,11.016,CRIT Rate,HP,HP,Energy Regeneration Rate,Poet of Mourning Collapse,Bone Collection's Serene Demesne
1ead682f617a11f08d138878734f76cf,70,Aglaea,80,Lightning,Victory In a Blink,80.0,4,10,10,10,3104.21,2008.723,1013.419,135.932,81.8,125.64,61.28,0.0,19.439,3.456,31.968,5.832,8.9,7.344,22.464,0.0,32.4,35.64,3.456,31.968,5.832,CRIT Rate,SPD,Lightning DMG Boost,Energy Regeneration Rate,Hero of Triumphant Song,The Wondrous BananAmusement Park
1ead682f617a11f08d138878734f76cf,70,The Herta,80,Ice,Eternal Calculus,80.0,1,10,10,10,3464.424,3099.712,1103.737,138.232,61.176,149.144,22.4,0.0,0.0,3.456,14.256,0.0,9.2,15.552,7.776,18.9,40.176,34.344,3.456,14.256,0.0,CRIT DMG,SPD,ATK,ATK,Scholar Lost in Erudition,Rutilant Arena
1ead682f617a11f08d138878734f76cf,70,Fugue,80,Fire,Before the Tutorial Mission Starts,80.0,4,10,10,10,3386.183,1453.538,1056.279,156.052,18.932,55.832,38.88,0.0,0.0,12.096,130.72,169.6,8.9,11.664,0.0,14.58,13.932,5.832,12.096,47.52,64.8,Effect Hit Rate,SPD,Fire DMG Boost,Break Effect,Iron Cavalry Against the Scourge,Forge of the Kalpagni Lantern
1ead682f617a11f08d138878734f76cf,70,Castorice,80,Quantum,"Sweat Now, Cry Less",80.0,2,10,10,10,6629.728,1743.958,1019.714,90.0,43.532,201.972,63.28,0.0,0.0,11.232,3.888,0.0,2.6,17.712,28.08,38.34,5.832,73.872,11.232,3.888,0.0,CRIT DMG,HP,Quantum DMG Boost,HP,Poet of Mourning Collapse,Bone Collection's Serene Demesne
1ead68a0617a11f094f68878734f76cf,70,Phainon,80,Physical,Something Irreplaceable,70.0,6,10,6,8,3677.623,3517.564,1133.361,99.0,70.908,161.82,0.0,0.0,0.0,26.784,0.0,58.32,2.0,15.552,26.784,4.86,5.508,74.52,26.784,0.0,58.32,CRIT Rate,ATK,ATK,ATK,Scholar Lost in Erudition,Rutilant Arena
