uid,floor,round_num,star_num,ch1,ch2,ch3,ch4,cons1,cons2,cons3,cons4,buff,hard_mode
1000031,1,1,3,Rappa,Fugue,Ruan Mei,Lingsha,0,0,1,1,,False
1000031,2,0,3,Archer,Sparkle,Cerydra,Huohuo,3,6,1,1,,False
1000031,3,2,3,Castorice,Ice Trailblazer,Mydei,Hyacine,0,6,0,0,,False
1000031,4,4,2,Castorice,Evernight,Ice Trailblazer,Hyacine,0,0,6,0,Hammer and Anvil,False
1000032,1,0,3,Tribbie,Hyacine,Silver Wolf,Castorice,1,1,1,0,,False
1000032,2,0,3,Hysilens,Kafka,Black Swan,Huohuo,0,2,2,1,,False
1000032,3,0,3,Phainon,Cerydra,Sunday,Aventurine,2,0,1,2,,False
1000032,4,0,3,Hyacine,Tribbie,Evernight,Castorice,1,1,1,0,Infantry and Calvary,False
1000033,1,3,2,Ruan Mei,Firefly,Lingsha,Fugue,1,1,0,0,,False
1000033,2,4,2,Castorice,Evernight,Hyacine,Ice Trailblazer,0,0,0,6,,False
1000033,3,5,1,Tribbie,Feixiao,Aventurine,Luocha,0,0,0,0,,False
1000033,4,5,1,Evernight,Castorice,Tribbie,Hyacine,0,0,0,0,Think Outside the Box,False
1015438,1,4,2,Firefly,Ruan Mei,Fugue,Lingsha,0,0,0,0,,False
1015438,2,4,2,Kafka,Black Swan,Hysilens,Huohuo,0,0,0,0,,False
1015438,3,1,3,Castorice,Cipher,Tribbie,Hyacine,0,0,0,1,,False
1015438,4,5,1,Castorice,Evernight,Tribbie,Hyacine,0,0,0,1,Infantry and Calvary,False
1000034,1,1,3,Firefly,Imaginary Trailblazer,Ruan Mei,Fugue,2,6,0,0,,False
1000034,2,1,3,Hysilens,Kafka,Black Swan,Gallagher,0,0,0,6,,False
1000034,3,2,3,Castorice,Cipher,Hyacine,Silver Wolf,0,0,0,0,,False
1000034,4,6,1,Hysilens,Kafka,Black Swan,Hyacine,0,0,0,0,Hammer and Anvil,False
1000035,1,3,2,Firefly,Ruan Mei,Imaginary Trailblazer,Gallagher,2,1,6,6,,False
1000035,2,5,1,Anaxa,Sunday,Robin,Dan Heng • Permansor Terrae,0,0,1,0,,False
1000035,3,0,3,Castorice,Evernight,Tribbie,Hyacine,0,0,0,0,,False
1000035,4,5,1,Castorice,Evernight,Ice Trailblazer,Hyacine,0,0,6,0,Think Outside the Box,False
1000036,1,2,3,Gallagher,Imaginary Trailblazer,Ruan Mei,Firefly,6,6,0,2,,False
1000036,2,4,2,Black Swan,Kafka,Robin,Lingsha,1,0,0,1,,False
1000036,3,0,3,Hyacine,Silver Wolf,Tribbie,Castorice,0,0,1,1,,False
1000036,4,4,2,Castorice,Tribbie,Ice Trailblazer,Hyacine,1,1,6,0,Think Outside the Box,False
1000037,1,2,3,Firefly,Ruan Mei,Rappa,Imaginary Trailblazer,1,0,1,6,,False
1000037,2,6,1,Phainon,Bronya,Dan Heng • Permansor Terrae,Robin,0,4,0,0,,False
1000037,3,1,3,Castorice,Evernight,Blade,Hyacine,1,0,1,0,,False
1000037,4,4,2,Castorice,Evernight,Silver Wolf,Hyacine,1,0,0,0,Think Outside the Box,False
1000038,1,4,2,Ice Trailblazer,Mydei,Sunday,Gallagher,6,1,0,6,,False
1000038,2,3,2,Lingsha,Fugue,Ruan Mei,Boothill,2,0,0,0,,False
1000039,1,2,3,The Herta,Tribbie,Aventurine,Anaxa,2,1,0,0,,False
1000039,2,1,3,Hysilens,Gallagher,Black Swan,Kafka,0,6,1,1,,False
1000039,3,1,3,Phainon,Sunday,Bronya,Luocha,2,1,3,0,,False
1000039,4,0,3,Bronya,Sunday,Tribbie,Phainon,3,1,1,2,Think Outside the Box,False
1000040,1,1,3,Hyacine,Castorice,Ice Trailblazer,Evernight,1,0,6,0,,False
1000040,2,2,3,Fu Xuan,Hysilens,Kafka,Black Swan,2,0,0,0,,False
1000040,3,6,1,Aventurine,Feixiao,Cipher,Robin,0,0,0,0,,False
1000040,4,4,2,Hyacine,Castorice,Ice Trailblazer,Evernight,1,0,6,0,Infantry and Calvary,False
1015440,1,3,2,Firefly,Ruan Mei,Fugue,Gallagher,1,1,0,6,,False
1000041,1,2,3,Phainon,Bronya,Cerydra,Sunday,0,2,0,0,,False
1000041,2,2,3,Evernight,Ice Trailblazer,Hyacine,Castorice,0,6,0,0,,False
1000041,3,2,3,Archer,Tribbie,Sparkle,Aventurine,0,0,0,0,,False
1000041,4,5,1,Evernight,Castorice,Hyacine,Tribbie,0,0,0,0,Think Outside the Box,False
1015441,1,4,2,Fu Xuan,Firefly,Ruan Mei,Fugue,1,1,1,0,,False
1015441,2,6,1,Hysilens,Robin,Lingsha,Silver Wolf,0,0,0,0,,False
1015441,3,2,3,Huohuo,Evernight,Cipher,Castorice,0,0,0,2,,False
1000042,2,3,2,Phainon,Dan Heng • Permansor Terrae,Sunday,Cerydra,0,0,0,0,,False
1000042,3,0,3,Castorice,Ice Trailblazer,Hyacine,Tribbie,1,6,1,0,,False
1000043,1,2,3,Ruan Mei,Firefly,Fugue,Lingsha,1,1,0,0,,False
1000043,2,2,3,Hysilens,Kafka,Dan Heng • Permansor Terrae,Black Swan,0,0,0,0,,False
1000044,1,2,3,Fugue,Firefly,Ruan Mei,Lingsha,0,2,1,0,,False
1000044,2,6,1,Acheron,Jiaoqiu,Aventurine,Cipher,0,0,0,0,,False
1000044,3,0,3,Evernight,Castorice,Tribbie,Hyacine,0,2,0,0,,False
1000044,4,3,2,Evernight,Castorice,Tribbie,Hyacine,0,2,0,0,Think Outside the Box,False
1015442,1,2,3,The Herta,Anaxa,Tribbie,Aventurine,2,0,1,0,,False
1015442,2,1,3,Hysilens,Kafka,Black Swan,Huohuo,1,0,0,0,,False
1015442,3,0,3,Castorice,Ice Trailblazer,Evernight,Hyacine,0,1,0,0,,False
1015442,4,4,2,Castorice,Evernight,Tribbie,Hyacine,0,0,1,0,Think Outside the Box,False
1000045,1,0,3,Anaxa,Robin,Bronya,Ruan Mei,1,0,5,1,,False
1000045,2,0,3,Phainon,Sunday,Tingyun,Cerydra,2,0,6,1,,False
1000045,3,2,3,Castorice,Tribbie,Ice Trailblazer,Luocha,0,1,6,0,,False
1000045,4,2,3,Phainon,Sunday,Cerydra,Luocha,2,0,1,0,Think Outside the Box,False
1000046,1,2,3,Firefly,Fugue,Ruan Mei,Lingsha,1,0,0,0,,False
1000046,2,1,3,Phainon,Bronya,Cerydra,Sunday,0,1,0,0,,False
1000046,3,1,3,Castorice,Evernight,Ice Trailblazer,Hyacine,0,0,6,0,,False
1000046,4,5,1,Castorice,Evernight,Ice Trailblazer,Hyacine,0,0,6,0,Think Outside the Box,False
1000047,1,2,3,Anaxa,Cerydra,Ruan Mei,Ice Trailblazer,0,0,1,6,,False
1000047,2,1,3,Phainon,Sunday,Sparkle,Bronya,2,0,0,4,,False
1000047,3,2,3,Castorice,Tribbie,Pela,Luocha,0,1,6,0,,False
1000047,4,0,3,Phainon,Cerydra,Sunday,Bronya,2,0,0,4,Think Outside the Box,False
1000048,1,5,1,Firefly,Fugue,Imaginary Trailblazer,Huohuo,0,0,6,0,,False
1000048,2,6,1,Phainon,Robin,Bronya,Dan Heng • Permansor Terrae,0,0,1,0,,False
1000048,3,2,3,Castorice,Evernight,Tribbie,Gallagher,0,0,0,6,,False
1000049,1,2,3,Phainon,Ice Trailblazer,Ruan Mei,Sparkle,0,6,1,0,,False
1000049,2,1,3,Anaxa,Cerydra,Bronya,Dan Heng • Permansor Terrae,0,0,1,0,,False
1000049,3,1,3,Mydei,Tribbie,Gallagher,Sunday,1,0,6,0,,False
1000050,1,5,1,Evernight,Ice Trailblazer,Tribbie,Luocha,0,6,1,0,,False
1000050,2,5,1,Firefly,Fugue,Bronya,Lingsha,3,0,4,0,,False
1000050,3,0,3,Castorice,Hyacine,Ruan Mei,Sparkle,2,0,1,0,,False
1000050,4,1,3,Castorice,Evernight,Tribbie,Hyacine,2,0,1,0,Infantry and Calvary,False
1000051,1,3,2,The Herta,Anaxa,Tribbie,Dan Heng • Permansor Terrae,0,0,0,0,,False
1000051,2,3,2,Hysilens,Black Swan,Kafka,Huohuo,0,0,0,0,,False
1000051,3,0,3,Castorice,Ice Trailblazer,Evernight,Hyacine,0,6,0,0,,False
1000051,4,4,2,Castorice,Ice Trailblazer,Evernight,Hyacine,0,6,0,0,Hammer and Anvil,False
1000052,1,5,1,The Herta,Anaxa,Aventurine,Tribbie,0,0,0,0,,False
1000052,2,3,2,Hysilens,Black Swan,Gallagher,Kafka,0,0,6,0,,False
1000052,3,1,3,Castorice,Evernight,Hyacine,Ice Trailblazer,0,0,0,6,,False
1000052,4,6,1,Ice Trailblazer,Evernight,Hyacine,Castorice,6,0,0,0,Think Outside the Box,False
1000053,1,4,2,Anaxa,Sunday,Robin,Gallagher,0,0,1,6,,False
1000053,2,2,3,Hysilens,Black Swan,Kafka,Huohuo,0,1,0,0,,False
1000053,3,2,3,Castorice,Evernight,Tribbie,Luocha,0,0,0,0,,False
1000054,1,2,3,Ice Trailblazer,Evernight,Ruan Mei,Silver Wolf,6,0,1,1,,False
1000054,2,0,3,Phainon,Sunday,Bronya,Cerydra,2,0,5,0,,False
1000054,3,2,3,Archer,Sparkle,Aventurine,Tribbie,0,0,0,1,,False
1000054,4,1,3,Phainon,Sunday,Bronya,Cerydra,2,0,6,0,Think Outside the Box,False
1000055,1,2,3,Fugue,Ruan Mei,Boothill,Imaginary Trailblazer,0,1,0,6,,False
1000055,2,2,3,Hysilens,Kafka,Black Swan,Fu Xuan,0,0,1,0,,False
1000055,3,1,3,The Herta,Aventurine,Tribbie,Herta,2,0,1,6,,False
1000055,4,6,1,The Herta,Aventurine,Tribbie,Anaxa,2,0,1,0,Hammer and Anvil,False
1000056,1,2,3,Boothill,Bronya,Ruan Mei,Fugue,2,1,1,1,,False
1000056,2,1,3,Anaxa,Sunday,Dan Heng • Permansor Terrae,Cerydra,1,1,0,0,,False
1000056,3,1,3,Phainon,Robin,Sparkle,Tingyun,2,0,1,6,,False
1000056,4,2,3,Phainon,Sunday,Cerydra,Ruan Mei,2,1,0,1,Think Outside the Box,False
1000057,1,2,3,Firefly,Ruan Mei,Lingsha,Fugue,2,0,0,0,,False
1000057,2,2,3,Kafka,Hysilens,Black Swan,Huohuo,0,1,0,0,,False
1000057,3,0,3,Castorice,Evernight,Tribbie,Hyacine,2,2,1,0,,False
1000057,4,1,3,Castorice,Evernight,Tribbie,Hyacine,2,2,1,0,Infantry and Calvary,False
1000058,1,0,3,Firefly,Fugue,Lingsha,Ruan Mei,2,1,2,2,,False
1000058,2,0,3,Hysilens,Kafka,Black Swan,Huohuo,0,6,6,1,,False
1000058,3,0,3,Castorice,Tribbie,Hyacine,Ice Trailblazer,2,1,0,6,,False
1000058,4,2,3,Hysilens,Kafka,Black Swan,Hyacine,0,6,6,0,Think Outside the Box,False
1015443,1,2,3,Phainon,Dan Heng • Permansor Terrae,Sunday,Bronya,1,0,0,2,,False
1015443,2,5,1,Kafka,Aventurine,Tribbie,Jiaoqiu,0,1,0,0,,False
1015443,3,2,3,Castorice,Hyacine,Evernight,Ice Trailblazer,0,0,0,6,,False
1000059,1,5,1,Gallagher,Firefly,Fugue,Ruan Mei,6,0,0,1,,False
1000059,2,4,2,Kafka,Hysilens,Huohuo,Robin,0,0,0,0,,False
1000059,3,4,2,Castorice,Silver Wolf,Ice Trailblazer,Hyacine,0,0,6,0,,False
1000060,1,0,3,Firefly,Ruan Mei,Lingsha,Fugue,3,1,2,2,,False
1000060,2,2,3,Hysilens,Kafka,Black Swan,Luocha,0,0,1,0,,False
1000060,3,0,3,Acheron,Sparkle,Hyacine,Jiaoqiu,6,2,2,1,,False
1000060,4,4,2,Acheron,Sparkle,Hyacine,Jiaoqiu,6,2,2,1,Infantry and Calvary,False
1000061,1,2,3,Aglaea,Sunday,Ruan Mei,Dan Heng • Permansor Terrae,3,0,1,0,,False
1000061,2,5,1,Kafka,Black Swan,Robin,Bailu,1,0,0,2,,False
1000062,1,4,2,Firefly,Ruan Mei,Fugue,Lingsha,0,0,0,0,,False
1000062,2,2,3,Hysilens,Aventurine,Kafka,Black Swan,0,0,0,0,,False
1000062,3,3,2,Luocha,Castorice,Tribbie,Blade,0,0,0,0,,False
1000063,1,3,2,Rappa,Fugue,Ruan Mei,Gallagher,1,0,0,6,,False
1000063,2,5,1,Castorice,Tribbie,Ice Trailblazer,Hyacine,0,0,6,0,,False
1000064,1,5,1,Rappa,Lingsha,Fugue,Ruan Mei,0,0,0,1,,False
1000064,2,4,2,Hysilens,Kafka,Tribbie,Gallagher,0,0,0,6,,False
1000064,3,2,3,Castorice,Hyacine,Evernight,Ice Trailblazer,0,0,0,6,,False
1000064,4,6,1,Castorice,Hyacine,Tribbie,Evernight,0,0,0,0,Think Outside the Box,False
1000065,1,5,1,Imaginary Trailblazer,Gallagher,Ruan Mei,Firefly,6,3,0,0,,False
1000065,2,2,3,Kafka,Black Swan,Hysilens,Fu Xuan,1,0,0,0,,False
1000065,3,3,2,Feixiao,Aventurine,Robin,Cipher,0,0,0,0,,False
1015444,1,1,3,Firefly,Fugue,Lingsha,Ruan Mei,2,0,0,1,,False
1015444,3,1,3,Phainon,Sunday,Bronya,Dan Heng • Permansor Terrae,2,0,3,0,,False
1015445,1,3,2,Phainon,Dan Heng • Permansor Terrae,Sunday,Bronya,1,0,0,2,,False
1000066,1,2,3,Firefly,Ruan Mei,Imaginary Trailblazer,Fugue,0,1,6,0,,False
1000066,2,2,3,Hysilens,Black Swan,Kafka,Gallagher,0,0,0,6,,False
1000066,3,0,3,Castorice,Evernight,Tribbie,Hyacine,0,0,1,0,,False
1000066,4,4,2,Castorice,Tribbie,Evernight,Hyacine,0,1,0,0,Think Outside the Box,False
1000067,1,0,3,,,,,,,,,,True
1000067,2,0,3,,,,,,,,,,True
1000067,3,0,3,,,,,,,,,,True
1000067,4,2,3,Castorice,Hyacine,Evernight,Tribbie,6,0,1,1,Think Outside the Box,True
1000068,1,4,2,Firefly,Fugue,Lingsha,Ruan Mei,0,0,0,1,,False
1000068,2,4,2,The Herta,Anaxa,Tribbie,Aventurine,0,0,1,0,,False
1000068,3,3,2,Archer,Sparkle,Ice Trailblazer,Fu Xuan,3,0,6,3,,False
1000069,1,1,3,Acheron,Ruan Mei,Jiaoqiu,Tribbie,3,0,0,1,,False
1000069,2,0,3,Castorice,Evernight,Ice Trailblazer,Hyacine,2,1,6,0,,False
1000069,3,2,3,Archer,Sparkle,Robin,Dan Heng • Permansor Terrae,0,0,1,0,,False
1000069,4,0,3,Castorice,Evernight,Tribbie,Hyacine,2,1,1,0,Think Outside the Box,False
1000070,1,3,2,Aventurine,Anaxa,Cerydra,Bronya,1,0,0,2,,False
1000071,1,2,3,Firefly,Imaginary Trailblazer,Ruan Mei,Lingsha,2,6,0,0,,False
1000071,2,2,3,Saber,Sunday,Robin,Gallagher,6,0,0,6,,False
1000071,3,4,2,Archer,Sparkle,Aventurine,Silver Wolf,0,0,0,0,,False
1015447,1,1,3,Rappa,Ruan Mei,Fugue,Gallagher,0,0,1,6,,False
1015447,2,0,3,Anaxa,Sunday,Sparkle,Fu Xuan,6,6,0,4,,False
1015447,3,2,3,Phainon,Bailu,Cerydra,Bronya,1,2,1,5,,False
1015447,4,0,3,Anaxa,Dan Heng • Permansor Terrae,Sunday,Cerydra,6,2,6,1,Hammer and Anvil,False
1015448,1,3,2,Firefly,Fugue,Ruan Mei,Lingsha,0,0,0,0,,False
1015448,2,3,2,Hysilens,Kafka,Black Swan,Huohuo,0,0,0,0,,False
1000072,1,2,3,Firefly,Fugue,Gallagher,Ruan Mei,2,0,6,1,,False
1000072,2,2,3,Phainon,Cerydra,Bronya,Sunday,0,0,6,0,,False
1000072,3,0,3,Castorice,Evernight,Tribbie,Hyacine,1,0,1,0,,False
1000072,4,1,3,Castorice,Evernight,Tribbie,Hyacine,1,1,1,0,Think Outside the Box,False
1000073,1,4,2,Firefly,Imaginary Trailblazer,Ruan Mei,Lingsha,1,6,0,0,,False
1000073,2,3,2,Hysilens,Kafka,Black Swan,Huohuo,0,0,0,0,,False
1000073,3,0,3,Evernight,Castorice,Tribbie,Hyacine,0,0,1,0,,False
1000073,4,4,2,Evernight,Castorice,Tribbie,Hyacine,0,0,1,0,Think Outside the Box,False
1000074,1,4,2,Rappa,Ruan Mei,Gallagher,Fugue,0,0,6,0,,False
1000074,2,3,2,Feixiao,Robin,Aventurine,Topaz & Numby,0,1,1,1,,False
1000074,3,0,3,Castorice,Ice Trailblazer,Tribbie,Hyacine,0,6,0,0,,False
1000074,4,6,1,Castorice,Hyacine,Tribbie,Ice Trailblazer,0,0,0,6,Think Outside the Box,False
1000075,1,0,3,Firefly,Fugue,Ruan Mei,Lingsha,6,6,6,1,,False
1000075,2,0,3,Phainon,Cerydra,Sunday,Sparkle,6,1,1,6,,False
